Advertiser,Region,Sub Region,IO Number,Invoice No,Gross Amount,Sales,开票sales,Net Invoice Amount, Invoice Currency , FX Rate ,Amount (USD),Invoice Date,Amount received,Balance,Remark,Receipt Date,Bank source,Credit Period,Due Date,Days Past Due,Ageing (Past Due),COMMENTS
游酷盛世科技（北京）有限公司,China Sales,China Sales North,,CHN_68_07_18,,Bonnie,,2926.64 ,USD,,2926.64 ,2018/7/27,2893.34 ,33.30 ,,2018/8/22,, 30 ,2018/8/26, reveived ,received,June
App Samurai Inc.,UK,UK,,UK_23_07_18,,UK,,730.80 ,USD,,730.80 ,2018/7/31,710.80 ,20.00 ,,2018/8/13,, 30 ,2018/8/30, reveived ,received,June
"Firestorm-sea (HK) Co., Limited（热浪出海）",China Sales,China Sales North,,CHN_01_08_18,,Bonnie,,75005.80 ,USD,,75005.80 ,2018/8/1,74996.89 ,8.91 ,,2018/8/6,, 30 ,2018/8/31, reveived ,received,June
"SINCETIMES CO.,Ltd.",China Sales,China Sales North,,CHN_02_08_18,,Bonnie,,4550.47 ,USD,,4550.47 ,2018/8/1,4542.17 ,8.30 ,,2018/8/30,, 30 ,2018/8/31, reveived ,received,June
ADFIT PLT,APAC,SGP,,SGP_01_08_18,,Amanda,,8605.00 ,USD,,8605.00 ,2018/8/2,8605.00 ,0.00 ,,2018/8/3,, 30 ,2018/9/1, reveived ,received,Prepayment
AppNext Ltd,AFF,AFF,,CHN_24_05_18CM,,AFF,,(140889.82),USD,,(140889.82),2018/8/3,,(140889.82),,2018/8/1,, 30 ,2018/9/2, reveived ,received,Cancelled invoice of Mar.18
AppNext Ltd,AFF,AFF,,CHN_03_08_18,,AFF,,120357.82 ,USD,,120357.82 ,2018/8/3,125226.96 ,(4869.14),,2018/7/23,, 30 ,2018/9/2, reveived ,received,Mar
SVG Media FZ LLC(Sevetynine),APAC,SGP,,SGP_02_08_18,,Amanda,,1311.50 ,USD,,1311.50 ,2018/8/7,1281.50 ,30.00 ,,2018/8/17,, 30 ,2018/9/6, reveived ,received,June
Autodoc GmbH,UK,UK,,UK_01_08_18,,UK,,839.20 ,USD,,839.20 ,2018/8/7,839.20 ,0.00 ,,2018/9/6,, 30 ,2018/9/6, reveived ,received,July
GDMGROUP EAST LIMITED（Mobair）,AFF,AFF,,CHN_05_08_18,,AFF,,549.70 ,USD,,549.70 ,2018/8/7,,549.70 ,,2018/8/16,, 30 ,2018/9/6, reveived ,received,May
FYXTECH LIMITED（雅乐）,China Sales,China Sales North,,CHN_04_08_18,,Bonnie,,3735.90 ,USD,,3735.90 ,2018/8/7,3735.90 ,0.00 ,,2018/8/9,, 30 ,2018/9/6, reveived ,received,"July,Aug.18"
NovelPlus Sdn Bhd,APAC,SGP,,SGP_03_08_18,,Amanda,,26.40 ,USD,,26.40 ,2018/8/8,26.40 ,0.00 ,,2018/9/4,, 30 ,2018/9/7, reveived ,received,July
Digitrading Hongkong Limited（敦煌网）,China Sales,China Sales East,,CHN_07_08_18,,Ander,,17898.34 ,USD,,17898.34 ,2018/8/8,17896.43 ,1.91 ,,2018/8/27,, 30 ,2018/9/7, reveived ,received,July
EFUN COMPANY LIMITED,China Sales,China Sales South,,CHN_08_08_18,,Vanness,,20494.49 ,USD,,20494.49 ,2018/8/8,20494.49 ,0.00 ,,2018/9/21,, 30 ,2018/9/7, reveived ,received,July 豪门足球
EFUN COMPANY LIMITED,China Sales,China Sales South,,CHN_09_08_18,,Vanness,,94926.29 ,USD,,94926.29 ,2018/8/8,94926.29 ,0.00 ,,2018/9/21,, 30 ,2018/9/7, reveived ,received,July三国志
Alibaba.com Singapore E-commerce Private Limited,China Sales,China Sales East,,CHN_10_08_18,,Ander,,76375.46 ,USD,,76375.46 ,2018/8/8,76367.49 ,7.97 ,,2018/9/10,, 30 ,2018/9/7, reveived ,received,April
"
SHAREIT(HK) TECHNOLOGY LIMITED",China Sales,China Sales EC,,CHN_13_08_18,,xinxin,,23099.34 ,USD,,23099.34 ,2018/8/9,23099.34 ,0.00 ,,2018/8/23,, 30 ,2018/9/8, reveived ,received,July
PT. Airy Nest Indonesia,APAC,Indonesia,,SGP_04_08_18,,Edo,,1920.80 ,USD,,1920.80 ,2018/8/9,1920.80 ,0.00 ,,2018/9/12,, 30 ,2018/9/8, reveived ,received,July
YouAppi Inc,AFF,AFF,,CHN_06_07_18,,AFF,,8907.17 ,USD,,8907.17 ,2018/7/9,8878.87 ,28.30 ,,2018/8/10,, 30 ,2018/8/8, reveived ,received,April
Sungy Mobile Limited (Gomo_Ultron),AFF,AFF,,CHN_17_08_18,,AFF,,213.09 ,USD,,213.09 ,2018/8/9,204.79 ,8.30 ,,2018/9/4,, 30 ,2018/9/8, reveived ,received,May
Cloudmob Limited,AFF,AFF,,CHN_18_08_18,,AFF,,1738.53 ,USD,,1738.53 ,2018/8/9,1730.23 ,8.30 ,,2018/8/21,, 30 ,2018/9/8, reveived ,received,May
Cook Media Ltd(Edge226_Ultron),AFF,AFF,,CHN_19_08_18,,AFF,,2644.00 ,USD,,2644.00 ,2018/8/9,2609.77 ,34.23 ,,2018/7/11,, 30 ,2018/9/8, reveived ,received,May
Digital Media Technology SLU(Headway_Ultron),AFF,AFF,,CHN_20_08_18,,AFF,,6669.10 ,USD,,6669.10 ,2018/8/9,6632.18 ,36.92 ,,2018/9/18,, 30 ,2018/9/8, reveived ,received,May
Hopemobi Technology Limited,AFF,AFF,,CHN_21_08_18,,AFF,,1814.87 ,USD,,1814.87 ,2018/8/9,1812.96 ,1.91 ,,2018/8/21,, 30 ,2018/9/8, reveived ,received,May
